name,dtype,first value,description
id,object,1077501,A unique LC assigned ID for the loan listing.
member_id,float64,"1,30E+10",A unique LC assigned Id for the borrower member.
loan_amnt,float64,5000,The listed amount of the loan applied for by the borrower.
funded_amnt,float64,5000,The total amount committed to that loan at that point in time.
funded_amnt_inv,float64,49750,The total amount committed by investors for that loan at that point in time.
term,object,36 months,The number of payments on the loan. Values are in months and can be either 36 or 60.
int_rate,object,10.65%,Interest Rate on the loan
installment,float64,162.87,The monthly payment owed by the borrower if the loan originates.
grade,object,B,LC assigned loan grade
sub_grade,object,B2,LC assigned loan subgrade
emp_title,object,NaN,The job title supplied by the Borrower when applying for the loan.
emp_length,object,10+ years,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.
home_ownership,object,RENT,"The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER."
annual_inc,float64,24000,The self-reported annual income provided by the borrower during registration.
verification_status,object,Verified,"Indicates if income was verified by LC, not verified, or if the income source was verified"
issue_d,object,Dec-2011,The month which the loan was funded
loan_status,object,Charged Off,Current status of the loan
pymnt_plan,object,n,Indicates if a payment plan has been put in place for the loan
purpose,object,car,A category provided by the borrower for the loan request.
title,object,Computer,The loan title provided by the borrower
zip_code,object,860xx,The first 3 numbers of the zip code provided by the borrower in the loan application.
addr_state,object,AZ,The state provided by the borrower in the loan application
dti,float64,27.65,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
delinq_2yrs,float64,0,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
earliest_cr_line,object,jan.-1985,The month the borrower's earliest reported credit line was opened
inq_last_6mths,float64,1,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
open_acc,float64,3,The number of open credit lines in the borrower's credit file.
pub_rec,float64,0,Number of derogatory public records
revol_bal,float64,13648,Total credit revolving balance
revol_util,object,83.7%,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_acc,float64,9,The total number of credit lines currently in the borrower's credit file
initial_list_status,object,f,"The initial listing status of the loan. Possible values are – W, F"
out_prncp,float64,0,Remaining outstanding principal for total amount funded
out_prncp_inv,float64,0,Remaining outstanding principal for portion of total amount funded by investors
total_pymnt,float64,5863.16,Payments received to date for total amount funded
total_pymnt_inv,float64,5833.84,Payments received to date for portion of total amount funded by investors
total_rec_prncp,float64,5000,Principal received to date
total_rec_int,float64,863.16,Interest received to date
total_rec_late_fee,float64,0,Late fees received to date
recoveries,float64,0,post charge off gross recovery
collection_recovery_fee,float64,0,post charge off collection fee
last_pymnt_d,object,jan.-2015,Last month payment was received
last_pymnt_amnt,float64,171.62,Last total payment amount received
last_credit_pull_d,object,jun.-2016,The most recent month LC pulled credit for this loan
collections_12_mths_ex_med,float64,0,Number of collections in 12 months excluding medical collections
policy_code,float64,1,publicly available policy_code=1 new products not publicly available policy_code=2
application_type,object,INDIVIDUAL,Indicates whether the loan is an individual application or a joint application with two co-borrowers
acc_now_delinq,float64,0,The number of accounts on which the borrower is now delinquent.
chargeoff_within_12_mths,float64,0,Number of charge-offs within 12 months
delinq_amnt,float64,0,The past-due amount owed for the accounts on which the borrower is now delinquent.
pub_rec_bankruptcies,float64,0,Number of public record bankruptcies
tax_liens,float64,0,Number of tax liens
